year,round,team,constructor_rank_norm
2015,1,ferrari,0.875
2015,1,force_india,0.375
2015,1,lotus_f1,0.0
2015,1,mclaren,0.125
2015,1,mercedes,1.0
2015,1,red_bull,0.5
2015,1,sauber,0.75
2015,1,toro_rosso,0.25
2015,1,williams,0.625
2015,2,ferrari,0.875
2015,2,force_india,0.375
2015,2,lotus_f1,0.0
2015,2,mclaren,0.125
2015,2,mercedes,1.0
2015,2,red_bull,0.5
2015,2,sauber,0.75
2015,2,toro_rosso,0.25
2015,2,williams,0.625
2015,3,ferrari,0.8888888888888888
2015,3,force_india,0.3333333333333333
2015,3,lotus_f1,0.2222222222222222
2015,3,manor,0.0
2015,3,mclaren,0.1111111111111111
2015,3,mercedes,1.0
2015,3,red_bull,0.4444444444444444
2015,3,sauber,0.6666666666666667
2015,3,toro_rosso,0.5555555555555556
2015,3,williams,0.7777777777777778
2015,4,ferrari,0.8888888888888888
2015,4,force_india,0.3333333333333333
2015,4,lotus_f1,0.2222222222222222
2015,4,manor,0.0
2015,4,mclaren,0.1111111111111111
2015,4,mercedes,1.0
2015,4,red_bull,0.5555555555555556
2015,4,sauber,0.6666666666666667
2015,4,toro_rosso,0.4444444444444444
2015,4,williams,0.7777777777777778
2015,5,ferrari,0.8888888888888888
2015,5,force_india,0.2222222222222222
2015,5,lotus_f1,0.4444444444444444
2015,5,manor,0.0
2015,5,mclaren,0.1111111111111111
2015,5,mercedes,1.0
2015,5,red_bull,0.6666666666666667
2015,5,sauber,0.5555555555555556
2015,5,toro_rosso,0.3333333333333333
2015,5,williams,0.7777777777777778
2015,6,ferrari,0.8888888888888888
2015,6,force_india,0.2222222222222222
2015,6,lotus_f1,0.4444444444444444
2015,6,manor,0.0
2015,6,mclaren,0.1111111111111111
2015,6,mercedes,1.0
2015,6,red_bull,0.6666666666666667
2015,6,sauber,0.5555555555555556
2015,6,toro_rosso,0.3333333333333333
2015,6,williams,0.7777777777777778
2015,7,ferrari,0.8888888888888888
2015,7,force_india,0.4444444444444444
2015,7,lotus_f1,0.3333333333333333
2015,7,manor,0.0
2015,7,mclaren,0.1111111111111111
2015,7,mercedes,1.0
2015,7,red_bull,0.6666666666666667
2015,7,sauber,0.5555555555555556
2015,7,toro_rosso,0.2222222222222222
2015,7,williams,0.7777777777777778
2015,8,ferrari,0.8888888888888888
2015,8,force_india,0.3333333333333333
2015,8,lotus_f1,0.5555555555555556
2015,8,manor,0.0
2015,8,mclaren,0.1111111111111111
2015,8,mercedes,1.0
2015,8,red_bull,0.6666666666666667
2015,8,sauber,0.4444444444444444
2015,8,toro_rosso,0.2222222222222222
2015,8,williams,0.7777777777777778
2015,9,ferrari,0.8888888888888888
2015,9,force_india,0.5555555555555556
2015,9,lotus_f1,0.4444444444444444
2015,9,manor,0.0
2015,9,mclaren,0.1111111111111111
2015,9,mercedes,1.0
2015,9,red_bull,0.6666666666666667
2015,9,sauber,0.3333333333333333
2015,9,toro_rosso,0.2222222222222222
2015,9,williams,0.7777777777777778
2015,10,ferrari,0.8888888888888888
2015,10,force_india,0.5555555555555556
2015,10,lotus_f1,0.4444444444444444
2015,10,manor,0.0
2015,10,mclaren,0.1111111111111111
2015,10,mercedes,1.0
2015,10,red_bull,0.6666666666666667
2015,10,sauber,0.3333333333333333
2015,10,toro_rosso,0.2222222222222222
2015,10,williams,0.7777777777777778
2015,11,ferrari,0.8888888888888888
2015,11,force_india,0.5555555555555556
2015,11,lotus_f1,0.4444444444444444
2015,11,manor,0.0
2015,11,mclaren,0.1111111111111111
2015,11,mercedes,1.0
2015,11,red_bull,0.6666666666666667
2015,11,sauber,0.2222222222222222
2015,11,toro_rosso,0.3333333333333333
2015,11,williams,0.7777777777777778
2015,12,ferrari,0.8888888888888888
2015,12,force_india,0.4444444444444444
2015,12,lotus_f1,0.5555555555555556
2015,12,manor,0.0
2015,12,mclaren,0.1111111111111111
2015,12,mercedes,1.0
2015,12,red_bull,0.6666666666666667
2015,12,sauber,0.2222222222222222
2015,12,toro_rosso,0.3333333333333333
2015,12,williams,0.7777777777777778
2015,13,ferrari,0.8888888888888888
2015,13,force_india,0.5555555555555556
2015,13,lotus_f1,0.4444444444444444
2015,13,manor,0.0
2015,13,mclaren,0.1111111111111111
2015,13,mercedes,1.0
2015,13,red_bull,0.6666666666666667
2015,13,sauber,0.2222222222222222
2015,13,toro_rosso,0.3333333333333333
2015,13,williams,0.7777777777777778
2015,14,ferrari,0.8888888888888888
2015,14,force_india,0.5555555555555556
2015,14,lotus_f1,0.4444444444444444
2015,14,manor,0.0
2015,14,mclaren,0.1111111111111111
2015,14,mercedes,1.0
2015,14,red_bull,0.6666666666666667
2015,14,sauber,0.2222222222222222
2015,14,toro_rosso,0.3333333333333333
2015,14,williams,0.7777777777777778
2015,15,ferrari,0.8888888888888888
2015,15,force_india,0.5555555555555556
2015,15,lotus_f1,0.4444444444444444
2015,15,manor,0.0
2015,15,mclaren,0.1111111111111111
2015,15,mercedes,1.0
2015,15,red_bull,0.6666666666666667
2015,15,sauber,0.2222222222222222
2015,15,toro_rosso,0.3333333333333333
2015,15,williams,0.7777777777777778
2015,16,ferrari,0.8888888888888888
2015,16,force_india,0.5555555555555556
2015,16,lotus_f1,0.4444444444444444
2015,16,manor,0.0
2015,16,mclaren,0.1111111111111111
2015,16,mercedes,1.0
2015,16,red_bull,0.6666666666666667
2015,16,sauber,0.2222222222222222
2015,16,toro_rosso,0.3333333333333333
2015,16,williams,0.7777777777777778
2015,17,ferrari,0.8888888888888888
2015,17,force_india,0.5555555555555556
