year,round,wet_race,track_temp,air_temp
2018,1,1,36.3,24.1
2018,2,0,32.2,28.0
2018,3,1,37.0,19.4
2018,4,0,25.3,16.7
2018,5,1,32.3,16.1
2018,6,1,34.6,26.6
2018,7,0,36.9,20.5
2018,8,1,42.0,24.5
2018,9,0,45.9,23.2
2018,10,0,52.2,27.4
2018,11,1,40.7,26.4
2018,12,0,51.1,33.8
2018,13,0,27.9,17.3
2018,14,1,30.8,22.2
2018,15,0,33.1,29.9
2018,16,1,29.9,24.8
2018,17,0,37.2,28.3
2018,18,0,30.5,21.9
2018,19,0,34.5,20.1
2018,20,0,40.1,23.8
2018,21,1,33.3,31.3
2019,1,0,41.3,23.5
2019,2,0,28.6,26.2
2019,3,0,27.3,19.3
2019,4,0,39.7,19.8
2019,5,0,40.7,20.1
2019,6,1,32.7,22.8
2019,7,0,51.1,29.4
2019,8,0,54.5,26.9
2019,9,0,50.7,34.4
2019,10,0,30.3,18.9
2019,11,1,26.4,21.5
2019,12,0,44.1,25.7
2019,13,0,28.1,17.4
2019,14,0,33.0,21.1
2019,15,0,35.8,30.0
2019,16,1,34.3,22.0
2019,17,0,32.2,21.6
2019,18,0,41.6,23.2
2019,19,0,29.1,21.5
2019,20,0,46.5,21.0
2019,21,0,29.6,26.0
2020,1,0,52.0,28.7
2020,2,1,39.9,20.8
2020,3,1,27.1,20.7
2020,4,0,40.6,21.3
2020,5,0,43.2,25.3
2020,6,0,47.6,29.8
2020,7,0,29.8,18.6
2020,8,0,41.2,28.1
2020,9,0,43.1,30.2
2020,10,0,40.3,28.8
2020,11,1,16.4,9.5
2020,12,0,25.7,20.5
2020,13,0,23.3,18.0
2020,14,1,15.2,13.1
2020,15,0,27.5,25.1
2020,16,0,23.5,20.9
2020,17,0,28.0,23.1
2021,1,0,27.6,20.5
2021,2,1,16.8,10.6
2021,3,0,39.0,19.4
2021,4,0,32.9,22.2
2021,5,0,37.6,20.8
2021,6,0,38.3,24.2
2021,7,0,35.2,25.3
2021,8,0,52.4,26.7
2021,9,1,33.2,21.0
2021,10,0,50.9,29.4
2021,11,1,37.8,27.2
2021,12,1,15.3,13.0
2021,13,0,36.1,21.5
2021,14,0,43.5,28.9
2021,15,1,21.8,19.1
2021,16,0,18.2,15.8
2021,17,0,37.5,28.1
2021,18,0,47.6,21.2
2021,19,0,51.6,23.1
2021,20,1,30.6,26.4
2021,21,0,31.7,28.8
2021,22,0,28.5,24.5
2022,1,0,28.6,23.6
2022,2,0,28.4,25.4
2022,3,0,37.4,26.7
2022,4,0,17.4,12.9
2022,5,1,42.8,30.6
2022,6,0,49.0,36.6
2022,7,1,31.0,22.3
2022,8,0,47.1,25.4
2022,9,0,41.3,20.8
2022,10,1,30.0,18.3
2022,11,0,30.7,20.3
2022,12,0,54.5,30.2
2022,13,1,26.7,18.6
2022,14,0,36.1,21.8
2022,15,0,33.4,22.7
2022,16,0,43.1,27.7
2022,17,1,29.0,26.2
2022,18,1,19.9,16.7
2022,19,0,35.5,29.3
2022,20,0,41.7,24.3
2022,21,0,46.0,23.0
2022,22,0,34.3,28.6
2023,1,0,31.0,27.4
2023,2,0,31.8,26.1
2023,3,0,30.1,17.4
2023,4,0,41.2,24.9
2023,5,0,36.7,27.1
2023,6,1,39.3,25.1
2023,7,0,33.8,22.7
2023,8,0,30.6,18.5
2023,9,1,32.1,22.4
2023,10,0,30.9,21.5
2023,11,0,48.6,28.8
2023,12,1,28.2,17.9
2023,13,1,24.9,16.8
2023,14,0,42.9,29.3
2023,15,0,36.4,29.8
2023,16,0,42.1,27.3
2023,17,0,36.9,31.5
2023,18,0,40.6,30.0
2023,19,0,45.6,25.5
2023,20,1,46.8,20.5
2023,21,0,18.0,18.1
2023,22,0,33.5,27.0
2024,1,0,23.7,18.2
2024,2,0,31.6,25.5
2024,3,0,38.4,20.6
2024,4,0,37.5,21.7
2024,5,0,29.8,18.6
2024,6,0,44.7,28.5
2024,7,0,42.0,25.1
2024,8,0,46.3,21.6
2024,9,1,24.6,17.8
2024,10,1,41.1,24.1
2024,11,1,46.4,29.4
2024,12,1,27.7,15.8
2024,13,0,44.9,28.8
2024,14,0,42.3,21.3
2024,15,0,30.8,19.0
2024,16,0,49.3,33.1
2024,17,0,44.3,26.7
2024,18,0,36.4,30.8
2024,19,0,46.6,28.1
2024,20,0,35.6,19.9
2024,21,1,25.8,21.7
2024,22,0,17.7,17.8
2024,23,0,22.8,18.9
2024,24,0,31.8,26.8
2025,1,1,18.9,15.7
2025,2,0,35.8,27.2
2025,3,0,20.5,14.4
2025,4,0,31.9,27.1
2025,5,0,37.8,29.5
2025,6,1,38.7,26.6
2025,7,0,42.7,24.0
2025,8,0,43.3,22.2
2025,9,0,48.5,29.1
2025,10,1,49.3,24.0
2025,11,0,49.2,30.3
2025,12,1,23.6,17.9
2025,13,1,24.1,17.0
2025,14,0,32.7,22.1
2025,15,0,28.0,20.1
2025,16,0,43.3,26.8
2025,17,0,26.1,20.6
2025,18,1,33.9,29.1
2025,19,0,45.0,28.3
2025,20,0,50.6,26.4
2025,21,0,30.7,17.3
2025,22,0,19.5,16.7
2025,23,0,28.2,22.6
2025,24,0,31.1,26.7
2026,1,0,36.1,24.2
2026,2,0,22.6,15.6
2026,3,0,34.1,18.6
2026,4,1,37.0,27.1
