year,round,circuit,driver,team,grid,position,won,points,laps,status
2015,1,albert_park,hamilton,mercedes,1,1,1,25.0,58,Finished
2015,1,albert_park,rosberg,mercedes,2,2,0,18.0,58,Finished
2015,1,albert_park,vettel,ferrari,4,3,0,15.0,58,Finished
2015,1,albert_park,massa,williams,3,4,0,12.0,58,Finished
2015,1,albert_park,nasr,sauber,10,5,0,10.0,58,Finished
2015,1,albert_park,ricciardo,red_bull,6,6,0,8.0,57,+1 Lap
2015,1,albert_park,hulkenberg,force_india,13,7,0,6.0,57,+1 Lap
2015,1,albert_park,ericsson,sauber,15,8,0,4.0,57,+1 Lap
2015,1,albert_park,sainz,toro_rosso,7,9,0,2.0,57,+1 Lap
2015,1,albert_park,perez,force_india,14,10,0,1.0,57,+1 Lap
2015,1,albert_park,button,mclaren,16,11,0,0.0,56,+2 Laps
2015,1,albert_park,raikkonen,ferrari,5,12,0,0.0,40,Wheel
2015,1,albert_park,max_verstappen,toro_rosso,11,13,0,0.0,32,Engine
2015,1,albert_park,grosjean,lotus_f1,8,14,0,0.0,0,Power loss
2015,1,albert_park,maldonado,lotus_f1,9,15,0,0.0,0,Accident
2015,1,albert_park,kvyat,red_bull,12,16,0,0.0,0,Withdrew
2015,1,albert_park,kevin_magnussen,mclaren,17,17,0,0.0,0,Withdrew
2015,1,albert_park,bottas,williams,0,18,0,0.0,0,Withdrew
2015,2,sepang,vettel,ferrari,2,1,1,25.0,56,Finished
2015,2,sepang,hamilton,mercedes,1,2,0,18.0,56,Finished
2015,2,sepang,rosberg,mercedes,3,3,0,15.0,56,Finished
2015,2,sepang,raikkonen,ferrari,11,4,0,12.0,56,Finished
2015,2,sepang,bottas,williams,8,5,0,10.0,56,Finished
2015,2,sepang,massa,williams,7,6,0,8.0,56,Finished
2015,2,sepang,max_verstappen,toro_rosso,6,7,0,6.0,56,Finished
2015,2,sepang,sainz,toro_rosso,15,8,0,4.0,55,+1 Lap
2015,2,sepang,kvyat,red_bull,5,9,0,2.0,55,+1 Lap
2015,2,sepang,ricciardo,red_bull,4,10,0,1.0,55,+1 Lap
2015,2,sepang,grosjean,lotus_f1,10,11,0,0.0,55,+1 Lap
2015,2,sepang,nasr,sauber,16,12,0,0.0,55,+1 Lap
2015,2,sepang,perez,force_india,14,13,0,0.0,55,+1 Lap
2015,2,sepang,hulkenberg,force_india,13,14,0,0.0,55,+1 Lap
2015,2,sepang,merhi,manor,19,15,0,0.0,53,+3 Laps
2015,2,sepang,maldonado,lotus_f1,12,16,0,0.0,47,Retired
2015,2,sepang,button,mclaren,17,17,0,0.0,41,Turbo
2015,2,sepang,alonso,mclaren,18,18,0,0.0,21,ERS
2015,2,sepang,ericsson,sauber,9,19,0,0.0,3,Spun off
2015,2,sepang,stevens,manor,0,20,0,0.0,0,Fuel system
2015,3,shanghai,hamilton,mercedes,1,1,1,25.0,56,Finished
2015,3,shanghai,rosberg,mercedes,2,2,0,18.0,56,Finished
2015,3,shanghai,vettel,ferrari,3,3,0,15.0,56,Finished
2015,3,shanghai,raikkonen,ferrari,6,4,0,12.0,56,Finished
2015,3,shanghai,massa,williams,4,5,0,10.0,56,Finished
2015,3,shanghai,bottas,williams,5,6,0,8.0,56,Finished
2015,3,shanghai,grosjean,lotus_f1,8,7,0,6.0,56,Finished
2015,3,shanghai,nasr,sauber,9,8,0,4.0,56,Finished
2015,3,shanghai,ricciardo,red_bull,7,9,0,2.0,56,Finished
2015,3,shanghai,ericsson,sauber,10,10,0,1.0,55,+1 Lap
2015,3,shanghai,perez,force_india,15,11,0,0.0,55,+1 Lap
2015,3,shanghai,alonso,mclaren,18,12,0,0.0,55,+1 Lap
2015,3,shanghai,sainz,toro_rosso,14,13,0,0.0,55,+1 Lap
2015,3,shanghai,button,mclaren,17,14,0,0.0,55,+1 Lap
2015,3,shanghai,stevens,manor,19,15,0,0.0,54,+2 Laps
2015,3,shanghai,merhi,manor,20,16,0,0.0,54,+2 Laps
2015,3,shanghai,max_verstappen,toro_rosso,13,17,0,0.0,52,Transmission
2015,3,shanghai,maldonado,lotus_f1,11,18,0,0.0,49,Brakes
2015,3,shanghai,kvyat,red_bull,12,19,0,0.0,15,Power Unit
2015,3,shanghai,hulkenberg,force_india,16,20,0,0.0,9,Gearbox
2015,4,bahrain,hamilton,mercedes,1,1,1,25.0,57,Finished
